Episode no = 680; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.9093333333333333, win percentage = 0.0, 2023-04-13 01:28:02
Episode no = 690; won: False; Q(s,a) = -6.787491916229008; reward = -511.0; and epsilon = 0.908, win percentage = 0.0, 2023-04-13 01:28:03
Episode no = 700; won: False; Q(s,a) = nan; reward = -506.0; and epsilon = 0.9066666666666666, win percentage = 0.0, 2023-04-13 01:28:03
Episode no = 710; won: False; Q(s,a) = -7.170911158302747; reward = -513.0; and epsilon = 0.9053333333333333, win percentage = 0.0, 2023-04-13 01:28:04
Episode no = 720; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.904, win percentage = 0.0, 2023-04-13 01:28:05
Episode no = 730; won: False; Q(s,a) = -6.6460431863131815; reward = -506.0; and epsilon = 0.9026666666666667, win percentage = 0.0, 2023-04-13 01:28:05
Episode no = 740; won: False; Q(s,a) = nan; reward = -511.0; and epsilon = 0.9013333333333333, win percentage = 0.0, 2023-04-13 01:28:06
Episode no = 750; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.9, win percentage = 0.0, 2023-04-13 01:28:06
Episode no = 760; won: False; Q(s,a) = -6.597514588060214; reward = -513.0; and epsilon = 0.8986666666666667, win percentage = 0.0, 2023-04-13 01:28:07
Episode no = 770; won: False; Q(s,a) = -7.635760337747518; reward = -507.0; and epsilon = 0.8973333333333333, win percentage = 0.0, 2023-04-13 01:28:07
Episode no = 780; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.896, win percentage = 0.0, 2023-04-13 01:28:08
Episode no = 790; won: False; Q(s,a) = -6.503522870340332; reward = -509.0; and epsilon = 0.8946666666666667, win percentage = 0.0, 2023-04-13 01:28:08
Episode no = 800; won: False; Q(s,a) = -6.898199479008058; reward = -507.0; and epsilon = 0.8933333333333333, win percentage = 0.0, 2023-04-13 01:28:09
Episode no = 810; won: False; Q(s,a) = -9.69993286475938; reward = -509.0; and epsilon = 0.892, win percentage = 0.0, 2023-04-13 01:28:09
Episode no = 820; won: False; Q(s,a) = -7.550708195468665; reward = -508.0; and epsilon = 0.8906666666666667, win percentage = 0.0, 2023-04-13 01:28:10
Episode no = 830; won: False; Q(s,a) = -8.188893031290622; reward = -504.0; and epsilon = 0.8893333333333333, win percentage = 0.0, 2023-04-13 01:28:10
Episode no = 840; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.888, win percentage = 0.0, 2023-04-13 01:28:11
Episode no = 850; won: False; Q(s,a) = nan; reward = -505.0; and epsilon = 0.8866666666666667, win percentage = 0.0, 2023-04-13 01:28:11
Episode no = 860; won: False; Q(s,a) = -6.7137644976643225; reward = -512.0; and epsilon = 0.8853333333333333, win percentage = 0.0, 2023-04-13 01:28:12
Episode no = 870; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.884, win percentage = 0.0, 2023-04-13 01:28:12
Episode no = 880; won: False; Q(s,a) = nan; reward = -506.0; and epsilon = 0.8826666666666667, win percentage = 0.0, 2023-04-13 01:28:13
Episode no = 890; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.8813333333333333, win percentage = 0.0, 2023-04-13 01:28:13
Episode no = 900; won: False; Q(s,a) = -7.33807055812915; reward = -509.0; and epsilon = 0.88, win percentage = 0.0, 2023-04-13 01:28:14
Episode no = 910; won: False; Q(s,a) = nan; reward = -506.0; and epsilon = 0.8786666666666667, win percentage = 0.0, 2023-04-13 01:28:14
Episode no = 920; won: False; Q(s,a) = -7.7996024849534376; reward = -506.0; and epsilon = 0.8773333333333333, win percentage = 0.0, 2023-04-13 01:28:15
Episode no = 930; won: False; Q(s,a) = -8.03919256380691; reward = -509.0; and epsilon = 0.876, win percentage = 0.0, 2023-04-13 01:28:15
Episode no = 940; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.8746666666666667, win percentage = 0.0, 2023-04-13 01:28:16
Episode no = 950; won: False; Q(s,a) = -7.535043178789955; reward = -510.0; and epsilon = 0.8733333333333333, win percentage = 0.0, 2023-04-13 01:28:16
Episode no = 960; won: False; Q(s,a) = -7.387744757759796; reward = -520.0; and epsilon = 0.872, win percentage = 0.0, 2023-04-13 01:28:17
Episode no = 970; won: False; Q(s,a) = nan; reward = -504.0; and epsilon = 0.8706666666666667, win percentage = 0.0, 2023-04-13 01:28:17
Episode no = 980; won: False; Q(s,a) = -7.695413812173987; reward = -517.0; and epsilon = 0.8693333333333333, win percentage = 0.0, 2023-04-13 01:28:18
Episode no = 990; won: False; Q(s,a) = nan; reward = -510.0; and epsilon = 0.868, win percentage = 0.0, 2023-04-13 01:28:18
Episode no = 1000; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.8666666666666667, win percentage = 0.0, 2023-04-13 01:28:19
Episode no = 1010; won: False; Q(s,a) = -12.704691524418894; reward = -508.0; and epsilon = 0.8653333333333333, win percentage = 0.0, 2023-04-13 01:28:19
Episode no = 1020; won: False; Q(s,a) = -9.337619259373275; reward = -511.0; and epsilon = 0.864, win percentage = 0.0, 2023-04-13 01:28:20
Episode no = 1030; won: False; Q(s,a) = -11.2793995102933; reward = -510.0; and epsilon = 0.8626666666666667, win percentage = 0.0, 2023-04-13 01:28:20
Episode no = 1040; won: False; Q(s,a) = nan; reward = -512.0; and epsilon = 0.8613333333333333, win percentage = 0.0, 2023-04-13 01:28:21
Episode no = 1050; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.86, win percentage = 0.0, 2023-04-13 01:28:21
Episode no = 1060; won: False; Q(s,a) = -10.721110257348315; reward = -510.0; and epsilon = 0.8586666666666667, win percentage = 0.0, 2023-04-13 01:28:22
Episode no = 1070; won: False; Q(s,a) = -8.553113776191013; reward = -515.0; and epsilon = 0.8573333333333333, win percentage = 0.0, 2023-04-13 01:28:22
Episode no = 1080; won: False; Q(s,a) = -11.87057864374291; reward = -505.0; and epsilon = 0.856, win percentage = 0.0, 2023-04-13 01:28:23
Episode no = 1090; won: False; Q(s,a) = -8.285738076654068; reward = -513.0; and epsilon = 0.8546666666666667, win percentage = 0.0, 2023-04-13 01:28:23
Episode no = 1100; won: False; Q(s,a) = -9.00157787886193; reward = -505.0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2023-04-13 01:28:24
Episode no = 1110; won: False; Q(s,a) = -10.407413847510266; reward = -508.0; and epsilon = 0.852, win percentage = 0.0, 2023-04-13 01:28:24
Episode no = 1120; won: False; Q(s,a) = -12.868976359875505; reward = -522.0; and epsilon = 0.8506666666666667, win percentage = 0.0, 2023-04-13 01:28:25
Episode no = 1130; won: False; Q(s,a) = nan; reward = -506.0; and epsilon = 0.8493333333333333, win percentage = 0.0, 2023-04-13 01:28:25
Episode no = 1140; won: False; Q(s,a) = -8.550074299456652; reward = -508.0; and epsilon = 0.848, win percentage = 0.0, 2023-04-13 01:28:25
Episode no = 1150; won: False; Q(s,a) = -8.731988814500026; reward = -492.0; and epsilon = 0.8466666666666667, win percentage = 0.0, 2023-04-13 01:28:26
Episode no = 1160; won: False; Q(s,a) = -10.385992492042295; reward = -504.0; and epsilon = 0.8453333333333333, win percentage = 0.0, 2023-04-13 01:28:26
Episode no = 1170; won: False; Q(s,a) = -11.500638764167059; reward = -506.0; and epsilon = 0.844, win percentage = 0.0, 2023-04-13 01:28:27
Episode no = 1180; won: False; Q(s,a) = -8.72371886393538; reward = -509.0; and epsilon = 0.8426666666666667, win percentage = 0.0, 2023-04-13 01:28:27
Episode no = 1190; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.8413333333333333, win percentage = 0.0, 2023-04-13 01:28:28
Episode no = 1200; won: False; Q(s,a) = -9.688383412465644; reward = -506.0; and epsilon = 0.84, win percentage = 0.0, 2023-04-13 01:28:28
Episode no = 1210; won: False; Q(s,a) = -11.752878875498013; reward = -511.0; and epsilon = 0.8386666666666667, win percentage = 0.0, 2023-04-13 01:28:29
Episode no = 1220; won: False; Q(s,a) = -10.093685324834045; reward = -506.0; and epsilon = 0.8373333333333334, win percentage = 0.0, 2023-04-13 01:28:29
Episode no = 1230; won: False; Q(s,a) = -7.559402131519918; reward = -515.0; and epsilon = 0.836, win percentage = 0.0, 2023-04-13 01:28:30
Episode no = 1240; won: False; Q(s,a) = -9.280710459463327; reward = -511.0; and epsilon = 0.8346666666666667, win percentage = 0.0, 2023-04-13 01:28:31
Episode no = 1250; won: False; Q(s,a) = nan; reward = -506.0; and epsilon = 0.8333333333333334, win percentage = 0.0, 2023-04-13 01:28:31
Episode no = 1260; won: False; Q(s,a) = -11.934880926929406; reward = -509.0; and epsilon = 0.832, win percentage = 0.0, 2023-04-13 01:28:31
Episode no = 1270; won: False; Q(s,a) = -9.842380093044731; reward = -506.0; and epsilon = 0.8306666666666667, win percentage = 0.0, 2023-04-13 01:28:32
Episode no = 1280; won: False; Q(s,a) = -9.28160146588076; reward = -513.0; and epsilon = 0.8293333333333334, win percentage = 0.0, 2023-04-13 01:28:32
Episode no = 1290; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.8280000000000001, win percentage = 0.0, 2023-04-13 01:28:33
Episode no = 1300; won: False; Q(s,a) = nan; reward = -506.0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2023-04-13 01:28:34
Episode no = 1310; won: False; Q(s,a) = -10.34055361725662; reward = -505.0; and epsilon = 0.8253333333333334, win percentage = 0.0, 2023-04-13 01:28:34
Episode no = 1320; won: False; Q(s,a) = nan; reward = -508.0; and epsilon = 0.8240000000000001, win percentage = 0.0, 2023-04-13 01:28:35
Episode no = 1330; won: False; Q(s,a) = -11.686275843334549; reward = -505.0; and epsilon = 0.8226666666666667, win percentage = 0.0, 2023-04-13 01:28:35
Episode no = 1340; won: False; Q(s,a) = -9.661582529735467; reward = -507.0; and epsilon = 0.8213333333333334, win percentage = 0.0, 2023-04-13 01:28:36
Episode no = 1350; won: False; Q(s,a) = -11.192847113122358; reward = -508.0; and epsilon = 0.8200000000000001, win percentage = 0.0, 2023-04-13 01:28:36
Episode no = 1360; won: False; Q(s,a) = -12.532938011438935; reward = -510.0; and epsilon = 0.8186666666666667, win percentage = 0.0, 2023-04-13 01:28:37
Episode no = 1370; won: False; Q(s,a) = nan; reward = -509.0; and epsilon = 0.8173333333333334, win percentage = 0.0, 2023-04-13 01:28:37
Episode no = 1380; won: False; Q(s,a) = -7.341573392690605; reward = -513.0; and epsilon = 0.8160000000000001, win percentage = 0.0, 2023-04-13 01:28:38
Episode no = 1390; won: False; Q(s,a) = -12.676270051466322; reward = -507.0; and epsilon = 0.8146666666666667, win percentage = 0.0, 2023-04-13 01:28:38
Episode no = 1400; won: False; Q(s,a) = -4.969434279676205; reward = -504.0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2023-04-13 01:28:39
Episode no = 1410; won: False; Q(s,a) = -9.84181676646561; reward = -514.0; and epsilon = 0.812, win percentage = 0.0, 2023-04-13 01:28:39
Episode no = 1420; won: False; Q(s,a) = -9.48148237783475; reward = -511.0; and epsilon = 0.8106666666666666, win percentage = 0.0, 2023-04-13 01:28:40
Episode no = 1430; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.8093333333333333, win percentage = 0.0, 2023-04-13 01:28:40
Episode no = 1440; won: False; Q(s,a) = -9.788792262355235; reward = -508.0; and epsilon = 0.808, win percentage = 0.0, 2023-04-13 01:28:41
Episode no = 1450; won: False; Q(s,a) = -9.76125337196308; reward = -508.0; and epsilon = 0.8066666666666666, win percentage = 0.0, 2023-04-13 01:28:41
Episode no = 1460; won: False; Q(s,a) = -18.874314245164694; reward = -507.0; and epsilon = 0.8053333333333333, win percentage = 0.0, 2023-04-13 01:28:42
Episode no = 1470; won: False; Q(s,a) = -8.682053851740973; reward = -509.0; and epsilon = 0.804, win percentage = 0.0, 2023-04-13 01:28:42
Episode no = 1480; won: False; Q(s,a) = -10.631348599610936; reward = -505.0; and epsilon = 0.8026666666666666, win percentage = 0.0, 2023-04-13 01:28:43
Episode no = 1490; won: False; Q(s,a) = -11.268582726813875; reward = -507.0; and epsilon = 0.8013333333333333, win percentage = 0.0, 2023-04-13 01:28:43
Episode no = 1500; won: False; Q(s,a) = -2.444987355693058; reward = -528.0; and epsilon = 0.8, win percentage = 0.0, 2023-04-13 01:28:44
Episode no = 1510; won: False; Q(s,a) = -6.476095752955219; reward = -510.0; and epsilon = 0.7986666666666666, win percentage = 0.0, 2023-04-13 01:28:44
Episode no = 1520; won: False; Q(s,a) = -5.784150770090662; reward = -503.0; and epsilon = 0.7973333333333333, win percentage = 0.0, 2023-04-13 01:28:45
Episode no = 1530; won: False; Q(s,a) = nan; reward = -507.0; and epsilon = 0.796, win percentage = 0.0, 2023-04-13 01:28:45
Episode no = 1540; won: False; Q(s,a) = nan; reward = -505.0; and epsilon = 0.7946666666666666, win percentage = 0.0, 2023-04-13 01:28:46
Episode no = 1550; won: False; Q(s,a) = -10.387438924787169; reward = -507.0; and epsilon = 0.7933333333333333, win percentage = 0.0, 2023-04-13 01:28:46
Episode no = 1560; won: False; Q(s,a) = -9.447365517936406; reward = -506.0; and epsilon = 0.792, win percentage = 0.0, 2023-04-13 01:28:47
