Episode no = 1570; won: False; Q(s,a) = 101.88978413020564; reward = -260.0; and epsilon = 0.7906666666666666, win percentage = 0.0, 2023-04-20 15:08:27
Episode no = 1580; won: False; Q(s,a) = 98.10885422733199; reward = -374.0; and epsilon = 0.7893333333333333, win percentage = 0.0, 2023-04-20 15:08:35
Episode no = 1590; won: False; Q(s,a) = 100.19926990339759; reward = -90.0; and epsilon = 0.788, win percentage = 0.0, 2023-04-20 15:08:41
Episode no = 1600; won: False; Q(s,a) = 107.32170041614114; reward = -264.0; and epsilon = 0.7866666666666666, win percentage = 0.0, 2023-04-20 15:08:49
Episode no = 1610; won: False; Q(s,a) = 110.92309156081885; reward = -109.0; and epsilon = 0.7853333333333333, win percentage = 0.0, 2023-04-20 15:08:55
Episode no = 1620; won: False; Q(s,a) = 101.72889083855794; reward = -418.0; and epsilon = 0.784, win percentage = 0.0, 2023-04-20 15:09:00
Episode no = 1630; won: False; Q(s,a) = 104.4865892229461; reward = -349.0; and epsilon = 0.7826666666666666, win percentage = 0.0, 2023-04-20 15:09:10
Episode no = 1640; won: False; Q(s,a) = 105.9803283792581; reward = -383.0; and epsilon = 0.7813333333333333, win percentage = 0.0, 2023-04-20 15:09:14
Episode no = 1650; won: False; Q(s,a) = 112.38971492936867; reward = -406.0; and epsilon = 0.78, win percentage = 0.0, 2023-04-20 15:09:20
Episode no = 1660; won: False; Q(s,a) = 107.6373031186894; reward = -390.0; and epsilon = 0.7786666666666666, win percentage = 0.0, 2023-04-20 15:09:29
Episode no = 1670; won: False; Q(s,a) = 122.1395118574451; reward = -294.0; and epsilon = 0.7773333333333333, win percentage = 0.0, 2023-04-20 15:09:33
Episode no = 1680; won: False; Q(s,a) = 111.12448963618621; reward = -264.0; and epsilon = 0.776, win percentage = 0.0, 2023-04-20 15:09:40
Episode no = 1690; won: False; Q(s,a) = 103.68216013872197; reward = -317.0; and epsilon = 0.7746666666666666, win percentage = 0.0, 2023-04-20 15:09:48
